dataset_type,dataset_shuffle,k_folds_splits,k_folds_stratified,knn_k_neighbours,knn_voting_type,knn_metric,f_score
iris,False,2,True,10,distance,chebyshev,0.9336075083840725
iris,False,2,True,10,custom,euclidean,0.93999399939994
iris,False,2,True,10,custom,manhattan,0.9599839935974389
iris,False,2,True,10,custom,chebyshev,0.900376312141018
iris,False,2,True,11,uniform,euclidean,0.9532912954992826
iris,False,2,True,11,uniform,manhattan,0.9533286661999533
iris,False,2,True,11,uniform,chebyshev,0.9203707708862349
iris,False,2,True,11,distance,euclidean,0.9532912954992826
iris,False,2,True,11,distance,manhattan,0.9466666666666667
iris,False,2,True,11,distance,chebyshev,0.9336075083840725
iris,False,2,True,11,custom,euclidean,0.9532912954992826
iris,False,2,True,11,custom,manhattan,0.9533286661999533
iris,False,2,True,11,custom,chebyshev,0.9004702596935606
iris,False,2,True,12,uniform,euclidean,0.9397045523063009
iris,False,2,True,12,uniform,manhattan,0.9464739729693563
iris,False,2,True,12,uniform,chebyshev,0.9201694362984686
iris,False,2,True,12,distance,euclidean,0.9465811965811964
iris,False,2,True,12,distance,manhattan,0.9333066559957316
iris,False,2,True,12,distance,chebyshev,0.9336075083840725
iris,False,2,True,12,custom,euclidean,0.9266006072131585
iris,False,2,True,12,custom,manhattan,0.9599358974358975
iris,False,2,True,12,custom,chebyshev,0.9004613794712805
iris,False,2,True,13,uniform,euclidean,0.9399459513562206
iris,False,2,True,13,uniform,manhattan,0.9399459513562206
iris,False,2,True,13,uniform,chebyshev,0.9203006563483226
iris,False,2,True,13,distance,euclidean,0.9599358974358975
iris,False,2,True,13,distance,manhattan,0.9532912954992826
iris,False,2,True,13,distance,chebyshev,0.9402268191291854
iris,False,2,True,13,custom,euclidean,0.9198717948717948
iris,False,2,True,13,custom,manhattan,0.9332264957264957
iris,False,2,True,13,custom,chebyshev,0.9069938043125729
iris,False,2,True,14,uniform,euclidean,0.9263055639299232
iris,False,2,True,14,uniform,manhattan,0.9397045523063009
iris,False,2,True,14,uniform,chebyshev,0.9065897065897066
iris,False,2,True,14,distance,euclidean,0.9464739729693563
iris,False,2,True,14,distance,manhattan,0.9333066559957316
iris,False,2,True,14,distance,chebyshev,0.9336075083840725
iris,False,2,True,14,custom,euclidean,0.9199999999999999
iris,False,2,True,14,custom,manhattan,0.9332264957264957
iris,False,2,True,14,custom,chebyshev,0.8805214449544346
iris,False,2,True,15,uniform,euclidean,0.9264828738512949
iris,False,2,True,15,uniform,manhattan,0.9132552630700964
iris,False,2,True,15,uniform,chebyshev,0.9004028379028379
iris,False,2,True,15,distance,euclidean,0.9532163742690059
iris,False,2,True,15,distance,manhattan,0.9399459513562206
iris,False,2,True,15,distance,chebyshev,0.9269901394901395
iris,False,2,True,15,custom,euclidean,0.9198717948717948
iris,False,2,True,15,custom,manhattan,0.9066293183940243
iris,False,2,True,15,custom,chebyshev,0.8871950466957402
iris,False,5,False,1,uniform,euclidean,0.9133246657999132
iris,False,5,False,1,uniform,manhattan,0.8999899989999
iris,False,5,False,1,uniform,chebyshev,0.9004028379028379
iris,False,5,False,1,distance,euclidean,0.9133246657999132
iris,False,5,False,1,distance,manhattan,0.8999899989999
iris,False,5,False,1,distance,chebyshev,0.9004028379028379
iris,False,5,False,1,custom,euclidean,0.8991879580114874
iris,False,5,False,1,custom,manhattan,0.885539857806278
iris,False,5,False,1,custom,chebyshev,0.8857423736294603
iris,False,5,False,2,uniform,euclidean,0.8926462694578637
